step,added_tool,tool_count,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,total_tokens,raw_json_chars,raw_json_bytes,raw_json_tokens,server_delta,raw_delta,internal_delta
0,,0,17541,0,0,5,17546,0,0,0,,,
1,Agent,1,18316,0,0,5,18321,2948,2958,639,775,639,136
2,AskUserQuestion,2,19156,0,0,5,19161,7863,7877,1654,840,1015,-175
3,Bash,3,19759,0,0,5,19764,10618,10649,2312,603,658,-55
4,CronCreate,4,20662,0,0,5,20667,14252,14309,3285,903,973,-70
5,CronDelete,5,20725,0,0,5,20730,14630,14687,3368,63,83,-20
6,CronList,6,20769,0,0,5,20774,14879,14936,3425,44,57,-13
7,DesignSync,7,22404,0,0,5,22409,23827,23932,5480,1635,2055,-420
8,Edit,8,22573,0,0,5,22578,24809,24916,5698,169,218,-49
9,EnterPlanMode,9,23516,0,0,5,23521,29139,29246,6661,943,963,-20
10,EnterWorktree,10,24426,0,0,5,24431,33170,33291,7597,910,936,-26
11,ExitPlanMode,11,24918,0,0,5,24923,35631,35752,8128,492,531,-39
12,ExitWorktree,12,25465,0,0,5,25470,38154,38281,8717,547,589,-42
13,Monitor,13,27147,0,0,5,27152,45664,45833,10583,1682,1866,-184
14,NotebookEdit,14,27495,0,0,5,27500,47305,47478,10979,348,396,-48
15,PushNotification,15,27832,0,0,5,27837,49087,49270,11354,337,375,-38
16,Read,16,28162,0,0,5,28167,50693,50880,11748,330,394,-64
17,ReportFindings,17,28549,0,0,5,28554,52888,53079,12232,387,484,-97
18,ScheduleWakeup,18,29625,0,0,5,29630,57792,58020,13361,1076,1129,-53
19,SendMessage,19,29901,0,0,5,29906,59098,59332,13681,276,320,-44
20,Skill,20,30271,0,0,5,30276,60919,61161,14083,370,402,-32
21,TaskOutput,21,30571,0,0,5,30576,62483,62731,14430,300,347,-47
22,TaskStop,22,30741,0,0,5,30746,63306,63554,14616,170,186,-16
23,TodoWrite,23,30904,0,0,5,30909,64253,64501,14841,163,225,-62
24,WebFetch,24,31045,0,0,5,31050,65016,65266,15014,141,173,-32
25,WebSearch,25,31191,0,0,5,31196,65873,66125,15201,146,187,-41
26,Workflow,26,35876,0,0,5,35881,87223,87668,20219,4685,5018,-333
27,Write,27,35992,0,0,5,35997,87880,88325,20365,116,146,-30
